velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,95.0,580.0,0.86271,0.8526453,69.83354,67.92367
0.7,95.0,600.0,0.88727,0.88165015,70.88995,68.93798
0.7,95.0,620.0,0.91019,0.90953755,71.95969,69.960106
0.7,95.0,640.0,0.93117,0.93612456,73.04744,70.988335
0.7,95.0,660.0,0.94984,0.96122956,74.15864,72.02125
0.7,95.0,680.0,0.96563,0.98467857,75.30562,73.05751
0.7,95.0,700.0,0.97809,1.0,76.49313,74.095955
0.7,95.0,720.0,0.98737,1.0,77.70213,75.13536
0.7,95.0,740.0,0.99389,1.0,78.90927,76.17431
0.7,95.0,760.0,0.99795,1.0,80.09911,77.21102
0.7,95.0,780.0,0.99983,1.0,81.2603,78.24317
0.7,95.0,800.0,1.0,1.0,82.37513,79.26788
0.7,100.0,0.0,0.0,0.0,30.0,30.562317
0.7,100.0,20.0,0.000303,0.0,32.57486,33.109726
0.7,100.0,40.0,0.01548,0.0,35.49328,35.49906
0.7,100.0,60.0,0.04197,0.021450758,37.96609,37.73896
0.7,100.0,80.0,0.07462,0.055529416,40.13342,39.838852
0.7,100.0,100.0,0.11101,0.0895834,42.08465,41.808468
0.7,100.0,120.0,0.14929,0.12363064,43.88606,43.657475
0.7,100.0,140.0,0.18799,0.15768778,45.59105,45.395096
0.7,100.0,160.0,0.22572,0.1917687,47.25366,47.02987
0.7,100.0,180.0,0.26259,0.2258842,48.8647,48.569553
0.7,100.0,200.0,0.29821,0.2600406,50.44275,50.021164
0.7,100.0,220.0,0.33306,0.294242,51.97088,51.3912
0.7,100.0,240.0,0.36734,0.3284896,53.44683,52.68612
0.7,100.0,260.0,0.40128,0.3627851,54.86871,53.912865
0.7,100.0,280.0,0.43501,0.39713106,56.23758,55.07933
0.7,100.0,300.0,0.46869,0.43153137,57.55452,56.194653
0.7,100.0,320.0,0.50252,0.46599096,58.81913,57.269203
0.7,100.0,340.0,0.53671,0.5005134,60.03101,58.314228
0.7,100.0,360.0,0.57171,0.53509796,61.18428,59.34112
0.7,100.0,380.0,0.60736,0.5697347,62.29512,60.36079
0.7,100.0,400.0,0.64257,0.6044017,63.40716,61.382854
0.7,100.0,420.0,0.67698,0.6390621,64.53373,62.415348
0.7,100.0,440.0,0.71053,0.67366207,65.67511,63.464333
0.7,100.0,460.0,0.74312,0.70812833,66.83113,64.533905
0.7,100.0,480.0,0.77467,0.74236906,68.00105,65.6264
0.7,100.0,500.0,0.80511,0.77627254,69.1838,66.74256
0.7,100.0,520.0,0.83427,0.8097072,70.37989,67.88181
0.7,100.0,540.0,0.86201,0.8425217,71.58833,69.04253
0.7,100.0,560.0,0.88813,0.87454695,72.81065,70.2223
0.7,100.0,580.0,0.91234,0.9055981,74.04971,71.41817
0.7,100.0,600.0,0.93426,0.935478,75.3106,72.62679
0.7,100.0,620.0,0.9534,0.9639828,76.60195,73.84469
0.7,100.0,640.0,0.9691,0.99090934,77.93758,75.06833
0.7,100.0,660.0,0.98112,1.0,79.31082,76.29415
0.7,100.0,680.0,0.9898,1.0,80.69575,77.51867
0.7,100.0,700.0,0.9956,1.0,82.06833,78.73839
0.7,100.0,720.0,0.99893,1.0,83.41022,79.949776
0.7,100.0,740.0,1.0,1.0,84.71438,81.149124
