velo_in,temp_in,time,frac_true,frac_pred,temp_pcm_true,temp_pcm_pred
0.7,100.0,80.0,0.07462,0.09178491,40.13342,40.319866
0.7,100.0,100.0,0.11101,0.12137517,42.08465,42.204453
0.7,100.0,120.0,0.14929,0.15216066,43.88606,43.983
0.7,100.0,140.0,0.18799,0.18391854,45.59105,45.668636
0.7,100.0,160.0,0.22572,0.21643782,47.25366,47.27381
0.7,100.0,180.0,0.26259,0.24952656,48.8647,48.810078
0.7,100.0,200.0,0.29821,0.2830195,50.44275,50.288013
0.7,100.0,220.0,0.33306,0.3167786,51.97088,51.717155
0.7,100.0,240.0,0.36734,0.35069713,53.44683,53.105984
0.7,100.0,260.0,0.40128,0.38469577,54.86871,54.461983
0.7,100.0,280.0,0.43501,0.418719,56.23758,55.791702
0.7,100.0,300.0,0.46869,0.45272726,57.55452,57.10081
0.7,100.0,320.0,0.50252,0.48668802,58.81913,58.39413
0.7,100.0,340.0,0.53671,0.5205663,60.03101,59.67577
0.7,100.0,360.0,0.57171,0.5543133,61.18428,60.94913
0.7,100.0,380.0,0.60736,0.5878586,62.29512,62.216896
0.7,100.0,400.0,0.64257,0.6211021,63.40716,63.48118
0.7,100.0,420.0,0.67698,0.65391165,64.53373,64.74341
0.7,100.0,440.0,0.71053,0.6861211,65.67511,66.004456
0.7,100.0,460.0,0.74312,0.71753603,66.83113,67.264595
0.7,100.0,480.0,0.77467,0.74794096,68.00105,68.52347
0.7,100.0,500.0,0.80511,0.7771107,69.1838,69.78019
0.7,100.0,520.0,0.83427,0.8048232,70.37989,71.03331
0.7,100.0,540.0,0.86201,0.8308736,71.58833,72.280785
0.7,100.0,560.0,0.88813,0.8550867,72.81065,73.5201
0.7,100.0,580.0,0.91234,0.8773288,74.04971,74.748215
0.7,100.0,600.0,0.93426,0.89751387,75.3106,75.96167
0.7,100.0,620.0,0.9534,0.9156073,76.60195,77.15661
0.7,100.0,640.0,0.9691,0.9316259,77.93758,78.329
0.7,100.0,660.0,0.98112,0.94563526,79.31082,79.4746
0.7,100.0,680.0,0.9898,0.9577401,80.69575,80.58922
0.7,100.0,700.0,0.9956,0.9680783,82.06833,81.66882
0.7,100.0,720.0,0.99893,0.9768109,83.41022,82.709694
0.7,100.0,740.0,1.0,0.9841104,84.71438,83.70853
